pair_id,rows,cols,data,config
2147483649,67,2,K,6
2147483650,22,2,Q,3
2147483651,26,2,"ö",3
2147483652,22,2,"""",3
2147483653,21,2,+,3
2147483654,17,2,"ü",3
2147483655,16,2,#,3
2147483656,15,2,"á",3
2147483657,15,2,I,3
2147483658,21,2,"",6
2147483659,18,2,1,3
2147483660,17,2,#,6
2147483661,17,2,s,6
2147483662,20,2,#,3
2147483663,16,2,"≠",3
2147483664,17,2,2,3
2147483665,16,2,"ü",3
2147483666,17,2,"ü",6
2147483667,0,2,,0
2147483668,19,2,s,6
2147483669,18,2,d,3
2147483670,16,2,"",3
2147483671,0,2,,0
2147483672,17,2,V,3
2147483673,15,2,"≥",3
2147483674,0,2,,0
2147483675,0,2,,0
2147483676,0,2,,0
2147483677,0,2,,0
2147483678,0,2,,0
2147483679,17,2,"",3
2147483680,0,2,,0
2147483681,16,2,"",3
2147483682,0,2,,0
2147483683,15,2,"",3
2147483684,15,2,l,3
2147483685,0,2,,0
2147483686,0,2,,0
2147483687,0,2,,0
2147483688,0,2,,0
2147483689,0,2,,0
2147483690,0,2,,0
2147483691,0,2,,0
2147483692,0,2,,0
2147483693,0,2,,0
2147483694,0,2,,0
2147483695,0,2,,0
2147483696,0,2,,0
2147483697,0,2,,0
2147483698,0,2,,0
2147483699,0,2,,0
2147483700,0,2,,0
2147483701,0,2,,0
2147483702,0,2,,0
2147483703,0,2,,0
2147483704,0,2,,0
2147483705,0,2,,0
2147483706,0,2,,0
2147483707,0,2,,0
2147483708,0,2,,0
2147483709,0,2,,0
2147483710,0,2,,0
2147483711,0,2,,0
2147483712,0,2,,0
2147483713,0,2,,0
2147483714,0,2,,0
2147483715,0,2,,0
2147483716,0,2,,0
2147483717,0,2,,0
2147483718,0,2,,0
2147483719,0,2,,0
2147483720,0,2,,0
2147483721,0,2,,0
2147483722,0,2,,0
2147483723,0,2,,0
2147483724,0,2,,0
2147483725,0,2,,0
2147483726,0,2,,0
2147483727,0,2,,0
2147483728,0,2,,0
2147483729,0,2,,0
2147483730,0,2,,0
2147483731,0,2,,0
2147483732,0,2,,0
2147483733,0,2,,0
2147483734,0,2,,0
2147483735,0,2,,0
2147483736,0,2,,0
2147483737,0,2,,0
2147483738,0,2,,0
2147483739,0,2,,0
2147483740,0,2,,0
2147483741,0,2,,0
2147483742,0,2,,0
2147483743,0,2,,0
2147483744,0,2,,0
2147483745,0,2,,0
2147483746,0,2,,0
2147483747,0,2,,0
2147483748,0,2,,0
2147483749,0,2,,0
2147483750,0,2,,0
2147483751,0,2,,0
2147483752,0,2,,0
2147483753,0,2,,0
2147483754,0,2,,0
2147483755,0,2,,0
2147483756,0,2,,0
2147483757,0,2,,0
2147483758,0,2,,0
2147483759,0,2,,0
2147483760,0,2,,0
2147483761,0,2,,0
2147483762,0,2,,0
2147483763,0,2,,0
2147483764,0,2,,0
2147483765,0,2,,0
2147483766,0,2,,0
2147483767,0,2,,0
2147483768,0,2,,0
2147483769,0,2,,0
2147483770,0,2,,0
2147483771,0,2,,0
2147483772,0,2,,0
2147483773,0,2,,0
2147483774,0,2,,0
2147483775,0,2,,0
2147483776,0,2,,0
2147483777,0,2,,0
2147483778,0,2,,0
2147483779,0,2,,0
2147483780,0,2,,0
2147483781,0,2,,0
2147483782,0,2,,0
2147483783,0,2,,0
2147483784,0,2,,0
2147483785,0,2,,0
2147483786,0,2,,0
2147483787,0,2,,0
2147483788,0,2,,0
2147483789,0,2,,0
4294967297,26,2,D,3
4294967298,23,2,"",3
4294967299,23,2,5,3
4294967300,17,2,I,3
4294967301,17,2,"",3
4294967302,15,2,+,3
4294967303,17,2,O,3
4294967304,0,2,,0
4294967305,17,2,I,6
4294967306,0,2,,0
4294967307,19,2,r,3
4294967308,0,2,,0
4294967309,20,2,"",3
4294967310,0,2,,0
4294967311,16,2,"",3
4294967312,17,2,O,3
4294967313,0,2,,0
4294967314,17,2,j,3
4294967315,0,2,,0
4294967316,0,2,,0
4294967317,0,2,,0
4294967318,0,2,,0
4294967319,0,2,,0
4294967320,0,2,,0
4294967321,0,2,,0
4294967322,0,2,,0
4294967323,0,2,,0
4294967324,0,2,,0
4294967325,0,2,,0
4294967326,0,2,,0
4294967327,0,2,,0
4294967328,0,2,,0
4294967329,0,2,,0
4294967330,0,2,,0
4294967331,0,2,,0
4294967332,0,2,,0
4294967333,0,2,,0
4294967334,0,2,,0
4294967335,0,2,,0
4294967336,0,2,,0
4294967337,0,2,,0
4294967338,0,2,,0
4294967339,0,2,,0
4294967340,0,2,,0
4294967341,0,2,,0
4294967342,0,2,,0
4294967343,0,2,,0
4294967344,0,2,,0
4294967345,0,2,,0
4294967346,0,2,,0
4294967347,0,2,,0
4294967348,0,2,,0
4294967349,0,2,,0
4294967350,0,2,,0
4294967351,0,2,,0
4294967352,0,2,,0
4294967353,0,2,,0
4294967354,0,2,,0
4294967355,0,2,,0
4294967356,0,2,,0
4294967357,0,2,,0
4294967358,0,2,,0
4294967359,0,2,,0
4294967360,0,2,,0
4294967361,0,2,,0
4294967362,0,2,,0
4294967363,0,2,,0
4294967364,0,2,,0
4294967365,0,2,,0
4294967366,0,2,,0
4294967367,0,2,,0
4294967368,0,2,,0
4294967369,0,2,,0
4294967370,0,2,,0
4294967371,0,2,,0
4294967372,0,2,,0
4294967373,0,2,,0
4294967374,0,2,,0
4294967375,0,2,,0
4294967376,0,2,,0
4294967377,0,2,,0
4294967378,0,2,,0
4294967379,0,2,,0
4294967380,0,2,,0
4294967381,0,2,,0
4294967382,0,2,,0
4294967383,0,2,,0
4294967384,0,2,,0
4294967385,0,2,,0
4294967386,0,2,,0
4294967387,0,2,,0
4294967388,0,2,,0
4294967389,0,2,,0
4294967390,0,2,,0
4294967391,0,2,,0
4294967392,0,2,,0
4294967393,0,2,,0
4294967394,0,2,,0
4294967395,0,2,,0
4294967396,0,2,,0
4294967397,0,2,,0
4294967398,0,2,,0
4294967399,0,2,,0
4294967400,0,2,,0
4294967401,0,2,,0
4294967402,0,2,,0
4294967403,0,2,,0
4294967404,0,2,,0
4294967405,0,2,,0
4294967406,0,2,,0
4294967407,0,2,,0
4294967408,0,2,,0
4294967409,0,2,,0
4294967410,0,2,,0
4294967411,0,2,,0
4294967412,0,2,,0
4294967413,0,2,,0
4294967414,0,2,,0
4294967415,0,2,,0
4294967416,0,2,,0
4294967417,0,2,,0
4294967418,0,2,,0
4294967419,0,2,,0
4294967420,0,2,,0
4294967421,0,2,,0
4294967422,0,2,,0
4294967423,0,2,,0
4294967424,0,2,,0
4294967425,0,2,,0
4294967426,0,2,,0
4294967427,0,2,,0
4294967428,0,2,,0
4294967429,0,2,,0
4294967430,0,2,,0
4294967431,0,2,,0
4294967432,0,2,,0
4294967433,0,2,,0
4294967434,0,2,,0
4294967435,0,2,,0
4294967436,0,2,,0
6442450945,62,2,"",6
6442450946,46,2,o,6
6442450947,38,2,O,6
6442450948,32,2,"",6
6442450949,27,2,D,3
6442450950,29,2,"",6
6442450951,24,2,@,3
6442450952,22,2,"",6
6442450953,24,2,|,3
6442450954,26,2,7,6
6442450955,27,2,P,6
6442450956,28,2,"",6
6442450957,24,2,V,6
6442450958,23,2,V,6
6442450959,23,2,>,6
6442450960,16,2,R,6
6442450961,19,2,Y,6
6442450962,17,2,7,3
6442450963,18,2,Y,3
6442450964,17,2,O,3
6442450965,19,2,O,3
6442450966,18,2,O,6
6442450967,17,2,O,3
6442450968,0,2,,0
6442450969,16,2,k,6
6442450970,15,2,R,3
6442450971,16,2,k,3
6442450972,15,2,"",3
6442450973,15,2,U,3
6442450974,0,2,,0
6442450975,15,2,R,3
6442450976,0,2,,0
6442450977,0,2,,0
6442450978,0,2,,0
6442450979,0,2,,0
6442450980,16,2,Z,3
6442450981,0,2,,0
6442450982,0,2,,0
6442450983,0,2,,0
6442450984,0,2,,0
6442450985,0,2,,0
6442450986,0,2,,0
6442450987,0,2,,0
6442450988,0,2,,0
6442450989,0,2,,0
6442450990,0,2,,0
6442450991,0,2,,0
6442450992,0,2,,0
6442450993,0,2,,0
6442450994,0,2,,0
6442450995,0,2,,0
6442450996,0,2,,0
6442450997,0,2,,0
6442450998,0,2,,0
6442450999,0,2,,0
6442451000,0,2,,0
6442451001,0,2,,0
6442451002,0,2,,0
6442451003,0,2,,0
6442451004,0,2,,0
6442451005,0,2,,0
6442451006,0,2,,0
6442451007,0,2,,0
6442451008,0,2,,0
6442451009,0,2,,0
6442451010,0,2,,0
6442451011,0,2,,0
6442451012,0,2,,0
6442451013,0,2,,0
6442451014,0,2,,0
6442451015,0,2,,0
6442451016,0,2,,0
6442451017,0,2,,0
6442451018,0,2,,0
6442451019,0,2,,0
6442451020,0,2,,0
6442451021,0,2,,0
6442451022,0,2,,0
6442451023,0,2,,0
6442451024,0,2,,0
6442451025,0,2,,0
6442451026,0,2,,0
6442451027,0,2,,0
6442451028,0,2,,0
6442451029,0,2,,0
6442451030,0,2,,0
6442451031,0,2,,0
6442451032,0,2,,0
6442451033,0,2,,0
6442451034,0,2,,0
6442451035,0,2,,0
6442451036,0,2,,0
6442451037,0,2,,0
6442451038,0,2,,0
6442451039,0,2,,0
6442451040,0,2,,0
6442451041,0,2,,0
6442451042,0,2,,0
6442451043,0,2,,0
6442451044,0,2,,0
6442451045,0,2,,0
6442451046,0,2,,0
6442451047,0,2,,0
6442451048,0,2,,0
6442451049,0,2,,0
6442451050,0,2,,0
6442451051,0,2,,0
6442451052,0,2,,0
6442451053,0,2,,0
6442451054,0,2,,0
6442451055,0,2,,0
6442451056,0,2,,0
6442451057,0,2,,0
6442451058,0,2,,0
6442451059,0,2,,0
6442451060,0,2,,0
6442451061,0,2,,0
6442451062,0,2,,0
6442451063,0,2,,0
6442451064,0,2,,0
6442451065,0,2,,0
6442451066,0,2,,0
6442451067,0,2,,0
6442451068,0,2,,0
6442451069,0,2,,0
6442451070,0,2,,0
6442451071,0,2,,0
6442451072,0,2,,0
6442451073,0,2,,0
6442451074,0,2,,0
6442451075,0,2,,0
6442451076,0,2,,0
6442451077,0,2,,0
6442451078,0,2,,0
6442451079,0,2,,0
6442451080,0,2,,0
6442451081,0,2,,0
6442451082,0,2,,0
6442451083,0,2,,0
8589934593,80,2,"",6
8589934594,53,2,"",6
8589934595,39,2,5,6
8589934596,33,2,Y,3
8589934597,36,2,"",6
8589934598,31,2,Y,6
8589934599,34,2,"",6
8589934600,32,2,"",6
8589934601,36,2,"",6
8589934602,35,2,@,6
8589934603,38,2,"",6
8589934604,30,2,?,6
8589934605,33,2,"",6
8589934606,27,2,A,6
8589934607,25,2,8,3
8589934608,27,2,X,6
8589934609,26,2,6,6
8589934610,27,2,8,3
8589934611,21,2,O,3
8589934612,23,2,O,3
8589934613,29,2,"",6
8589934614,24,2,O,6
8589934615,24,2,"",6
8589934616,23,2,"",6
8589934617,29,2,b,3
8589934618,25,2,"",6
8589934619,21,2,U,6
8589934620,21,2,U,6
8589934621,22,2,"",6
8589934622,23,2,"",6
8589934623,19,2,R,3
8589934624,22,2,5,6
8589934625,20,2,"",3
8589934626,20,2,"",3
8589934627,22,2,"",3
8589934628,0,2,,0
8589934629,0,2,,0
8589934630,0,2,,0
8589934631,0,2,,0
8589934632,0,2,,0
8589934633,0,2,,0
8589934634,0,2,,0
8589934635,0,2,,0
8589934636,0,2,,0
8589934637,0,2,,0
8589934638,0,2,,0
8589934639,0,2,,0
8589934640,0,2,,0
8589934641,0,2,,0
8589934642,0,2,,0
8589934643,0,2,,0
8589934644,0,2,,0
8589934645,0,2,,0
8589934646,0,2,,0
8589934647,0,2,,0
8589934648,0,2,,0
8589934649,0,2,,0
8589934650,0,2,,0
8589934651,0,2,,0
8589934652,0,2,,0
8589934653,0,2,,0
8589934654,0,2,,0
8589934655,0,2,,0
8589934656,0,2,,0
8589934657,0,2,,0
8589934658,0,2,,0
8589934659,0,2,,0
8589934660,0,2,,0
8589934661,0,2,,0
8589934662,0,2,,0
8589934663,0,2,,0
8589934664,0,2,,0
8589934665,0,2,,0
8589934666,0,2,,0
8589934667,0,2,,0
8589934668,0,2,,0
8589934669,0,2,,0
8589934670,0,2,,0
8589934671,0,2,,0
8589934672,0,2,,0
8589934673,0,2,,0
